imperative,dynamic,yes,no,no,+
imperative,static,no,no,yes,-
multiple,static,no,no,no,-
multiple,dynamic,yes,yes,yes,+
functional,static,yes,yes,yes,+
functional,dynamic,yes,yes,no,+
multiple,static,yes,no,yes,-
multiple,static,yes,yes,no,-
functional,static,yes,yes,yes,+
multiple,static,yes,yes,yes,+
multiple,dynamic,no,yes,no,+
multiple,dynamic,yes,yes,no,-
multiple,dynamic,yes,yes,no,-
imperative,static,yes,yes,yes,+
multiple,dynamic,yes,yes,no,-
multiple,dynamic,yes,yes,no,-
multiple,dynamic,yes,yes,yes,+
multiple,dynamic,yes,yes,no,-
multiple,dynamic,yes,yes,yes,+
multiple,static,yes,no,yes,-
multiple,static,yes,yes,yes,+
functional,dynamic,yes,yes,yes,+
